"";"Kingdom";"Phylum";"Class";"Order";"Lineage";"Clade";"Tribe"
"Otu00154";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"bacVI";"bacVI_unclassified";"bacVI_unclassified"
"Otu00155";"Bacteria";"Candidate_division_OP3";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"Candidate_division_OP3_unclassified";"";""
"Otu00156";"Bacteria";"Acidobacteria";"Acidobacteria";"Acidobacteriales";"Acidobacteriaceae_";"";""
"Otu00157";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Alphaproteobacteria_unclassified";"Alphaproteobacteria_unclassified";"";""
"Otu00158";"Bacteria";"Acidobacteria";"Acidobacteria";"Acidobacteriales";"Acidobacteriaceae_";"";""
"Otu00159";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Nevskiaceae";"Nevskia";""
"Otu00160";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI-A";"Lhab-A4"
"Otu00161";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00162";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Myxococcales";"Haliangiaceae";"Haliangium";""
"Otu00163";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"alfII";"alfII-A";"Brev"
"Otu00164";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"LiUU-3-334";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified";"LiUU-3-334_unclassified"
"Otu00165";"Bacteria";"WD272";"WD272_unclassified";"WD272_unclassified";"WD272_unclassified";"";""
"Otu00166";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"alfIV";"alfIV-A";"alfIV-A_unclassified"
"Otu00167";"Bacteria";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Actinomycetales_unclassified";"Actinomycetales_unclassified";"Actinomycetales_unclassified"
"Otu00168";"Bacteria";"Actinobacteria";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacterales_unclassified";"";""
"Otu00169";"Bacteria";"Parcubacteria";"Parcubacteria_unclassified";"Parcubacteria_unclassified";"Parcubacteria_unclassified";"";""
"Otu00170";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"alfII";"alfII-A";"Brev"
"Otu00171";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Telmatospirillum";""
"Otu00172";"Bacteria";"Acidobacteria";"Acidobacteria";"Subgroup_2";"Subgroup_2_unclassified";"";""
"Otu00173";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00174";"Bacteria";"Chlamydiae";"Chlamydiae";"Chlamydiales";"Chlamydiales_unclassified";"";""
"Otu00175";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellales_unclassified";"Legionellales_unclassified";"Legionellales_unclassified"
"Otu00176";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"betI";"betI_unclassified";"betI_unclassified"
"Otu00177";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"alfIII";"alfIII-A";"Sphingo"
"Otu00178";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"alfII";"alfII_unclassified";"alfII_unclassified"
"Otu00179";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_unclassified";"Gammaproteobacteria_unclassified";"";""
"Otu00180";"Bacteria";"Parcubacteria";"Parcubacteria_unclassified";"Parcubacteria_unclassified";"Parcubacteria_unclassified";"";""
"Otu00181";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"";""
"Otu00182";"Bacteria";"Planctomycetes";"Planctomycetacia";"Planctomycetales";"Planctomycetaceae";"";""
"Otu00183";"Bacteria";"Acidobacteria";"Acidobacteria";"Subgroup_3";"Unknown_Family";"Bryobacter";""
